|id|Название|Регион:|Населённый пункт:|Форма собственности:|Адрес:|Лицензия: №|specialization
0|5440|Институт нефти и технологий (филиал) федерального государственного бюджетного образовательного учреждения высшего образования «Югорский государственный университет»|Ханты-Мансийский автономный округ - Югра|г. Сургут|Негосударственный филиал|628415, Ханты-Мансийский автономный округ-Югра, г. Сургут, ул. Григория Кукуевицкого, д.3|1868 от 30.12.2015 (Бессрочная)|['150201', '150201', '150212', '180209', '180209', '180212', '210201', '210201', '210202', '210202', '230203', '230203', '230207', '380201', '380201']
1|1002|федеральное государственное казенное образовательное учреждение высшего образования «Белгородский юридический институт Министерства внутренних дел Российской Федерации имени И.Д. Путилина»|Белгородская область|г. Белгород|Государственный головной ВУЗ|Российская Федерация, 308024, Белгородская область, г. Белгород, ул. Горького, д. 71|1579 от 04.08.2015 (Бессрочная)|['400202', '400301', '400501', '400502', '400701', '440701']
2|2793|федеральное государственное бюджетное образовательное учреждение высшего образования «Тюменский индустриальный университет»|Тюменская область|г. Тюмень|Государственный головной ВУЗ|625000, г. Тюмень, ул. Володарского, д. 38|2134 от 13.05.2016 (Бессрочная)|['010302', '010304', '010601', '050301', '050601', '070301', '070303', '080201', '080208', '080301', '080401', '080501', '080502', '080601', '090201', '090202', '090203', '090204', '090205', '090301', '090302', '090304', '090401', '090402', '090404', '090601', '110108', '110202', '110206', '110209', '110210', '110211', '110212', '120301', '120304', '130110', '130202', '130211', '130301', '130302', '130401', '130402', '130601', '150120', '150121', '150125', '150201', '150207', '150208', '150301', '150302', '150303', '150304', '150305', '150306', '150401', '150402', '150403', '150404', '150406', '150501', '150601', '180127', '180209', '180301', '180302', '180401', '180402', '190207', '190210', '190302', '190303', '190304', '190401', '190404', '200201', '200204', '200301', '200401', '200601', '210101', '210102', '210103', '210104', '210201', '210202', '210203', '210205', '210210', '210211', '210301', '210302', '210401', '210402', '210501', '210502', '210503', '210601', '220206', '220301', '220401', '220601', '230203', '230205', '230301', '230302', '230303', '230401', '230402', '230403', '230501', '230601', '270201', '270202', '270301', '270302', '270304', '270305', '270404', '290203', '290204', '290205', '290206', '290302', '370302', '380201', '380202', '380204', '380205', '380207', '380301', '380302', '380303', '380304', '380305', '380306', '380307', '380401', '380402', '380403', '380404', '380405', '380406', '380408', '380409', '380601', '390301', '390302', '390303', '390401', '390402', '390601', '420201', '420202', '420301', '420401', '430201', '430202', '430203', '430204', '430210', '430211', '430301', '430303', '430402', '430403', '440601', '460201', '470601', '540201', '540203', '540301']
3|193|федеральное государственное бюджетное образовательное учреждение высшего образования «Тихоокеанский государственный медицинский университет» Министерства здравоохранения Российской Федерации|Приморский край|г. Владивосток|Негосударственный головной ВУЗ|690000, Приморский край, город Владивосток, Проспект Острякова, дом 2|2333 от 11.08.2016 (Бессрочная)|['300501', '300601', '310203', '310205', '310206', '310501', '310502', '310503', '310601', '310801', '310802', '310805', '310807', '310809', '310810', '310811', '310816', '310818', '310819', '310820', '310821', '310826', '310832', '310835', '310836', '310837', '310839', '310840', '310842', '310849', '310851', '310853', '310854', '310857', '310858', '310859', '310860', '310863', '310866', '310867', '310868', '310869', '310870', '310871', '310874', '310875', '310876', '310877', '320201', '320401', '320501', '320601', '320807', '320810', '320812', '320814', '330201', '330501', '330802', '340201', '340301', '370501', '370601', '390302']
4|9329|Федеральное государственное бюджетное учреждение науки Институт восточных рукописей Российской академии наук|г. Санкт-Петербург|г. Санкт-Петербург|Негосударственный головной ВУЗ|Российская Федерация, 191186, Санкт-Петербург, Дворцовая набережная, 18|0084 от 29.05.2012 (Бессрочная)|['450601', '460601']
5|2604|частное образовательное учреждение высшего образования «Казанский инновационный университет имени В.Г. Тимирясова (ИЭУП)»|Республика Татарстан (Татарстан)|г. Казань|Негосударственный головной ВУЗ|420111, Республика Татарстан, г. Казань, ул. Московская, д. 42|2684 от 07.12.2017 (Бессрочная)|['090205', '090205', '090303', '090303', '100301', '190210', '190210', '190304', '190304', '190404', '200201', '200301', '200301', '230203', '230203', '270302', '270302', '270402', '270402', '370301', '370301', '370401', '370401', '370601', '370601', '380201', '380201', '380203', '380203', '380204', '380204', '380301', '380301', '380302', '380302', '380304', '380304', '380305', '380306', '380401', '380401', '380402', '380402', '380601', '380601', '400201', '400201', '400301', '400301', '400401', '400401', '400601', '400601', '420301', '430210', '430210', '430211', '430211', '430301', '430302', '430302', '430303', '440201', '440201', '440301', '440301', '440302', '440302', '440303', '440303', '440401', '440401', '440402', '440402', '440601', '440601', '450302', '450302', '470601', '470601', '540201', '540201', '540301', '540301']
6|1700|Бурятский институт инфокоммуникаций (филиал) федерального государственного бюджетного образовательного учреждения высшего образования «Сибирский государственный университет телекоммуникаций и информатики» в г. Улан-Удэ|Республика Бурятия|г. Улан-Удэ|Негосударственный филиал|670031, Республика Бурятия, город Улан-Удэ, улица Трубачеева, дом 152|1753 от 09.11.2015 (Бессрочная)|['090203', '090301', '110209', '110211', '110212', '110302', '380201']
7|10767|Федеральное государственное бюджетное учреждение науки Вычислительный центр им. А.А. Дородницына Российской академии наук|г. Москва|г. Москва|Государственный головной ВУЗ|ул.Вавилова 40,г. Москва, 199333|2783 от 17.04.2012 (Бессрочная)|['010109', '051311', '051317', '051318']
8|7085|Филиал образовательного учреждения высшего образования «Санкт-Петербургский институт внешнеэкономических связей, экономики и права» в г. Удомле Тверской области|Тверская область||Негосударственный филиал||1085 от 15.09.2014 (Бессрочная)|['021100', '030501', '030501']
9|1898|Казанский филиал РМАТ|Республика Татарстан (Татарстан)|г. Казань|Негосударственный филиал|420111, Республика Татарстан, г. Казань, ул. Профсоюзная, д. 17|1935 от 15.02.2016 (Бессрочная)|['380302', '430302']
10|1572|филиал федерального государственного бюджетного образовательного учреждения высшего образования «Уфимский государственный авиационный технический университет» в г. Нефтекамске|Республика Башкортостан|г. Нефтекамск|Негосударственный филиал|452683, Республика Башкортостан, г. Нефтекамск, ул. Социалистическая, д. 42|2260 от 08.07.2016 (Бессрочная)|['130301', '130302', '140205', '150301', '150306', '150202', '150301', '150306']
11|77|Автономная некоммерческая организация высшего образования «ВОСТОЧНО-ЕВРОПЕЙСКИЙ ИНСТИТУТ ЭКОНОМИКИ, УПРАВЛЕНИЯ И ПРАВА»|Тульская область|г. Тула|Негосударственный головной ВУЗ|Россия, 300012, г. Тула, ул. Оружейная, д. 5а|1794 от 03.12.2015 (Бессрочная)|['380301', '380302']
